"","female","cg","sc","hsg","mw","so","we","ne","exp1","exp2","exp3","wage"
"1663473",0,0,0,1,0,0,0,1,33,10.89,35.937,11.6590909090909
"1663483",0,1,0,0,0,0,0,1,27,7.29,19.683,12.825
"1663490",0,0,1,0,0,0,0,1,13,1.69,2.197,5.77702702702703
"1663497",0,1,0,0,0,0,0,1,2,0.04,0.008,12.46875
"1663500",1,1,0,0,0,0,0,1,15,2.25,3.375,18.525
"1663511",0,0,1,0,0,0,0,1,6.5,0.4225,0.274625,11.4
"1663512",1,0,1,0,0,0,0,1,6,0.36,0.216,7.7751987281399
"1663543",0,0,0,1,0,0,0,1,25,6.25,15.625,16.03125
"1663557",0,0,0,1,0,0,0,1,14,1.96,2.744,9.75
"1663592",0,0,1,0,0,0,0,1,26,6.76,17.576,5.45571428571428
"1663599",0,0,0,1,0,0,0,1,25,6.25,15.625,12.46875
"1663602",1,1,0,0,0,0,0,1,4,0.16,0.064,15.75
"1663603",0,0,0,1,0,0,0,1,7,0.49,0.343,7.125
"1663610",1,0,1,0,0,0,0,1,4.5,0.2025,0.091125,14.25
"1663651",1,0,0,1,0,0,0,1,15,2.25,3.375,19.59375
"1663652",0,0,0,1,0,0,0,1,7,0.49,0.343,14.25
"1663655",1,1,0,0,0,0,0,1,3,0.09,0.027,8.87199519230769
"1663666",0,0,0,1,0,0,0,1,24,5.76,13.824,17.1
"1663676",1,0,1,0,0,0,0,1,15.5,2.4025,3.723875,17.7333333333333
"1663721",0,0,0,1,0,0,0,1,12,1.44,1.728,10.6875
"1663741",0,0,1,0,0,0,0,1,7.5,0.5625,0.421875,15.0721153846154
"1663774",1,1,0,0,0,0,0,1,7,0.49,0.343,10.6875
"1663804",0,0,0,1,0,0,0,1,12,1.44,1.728,7.28333333333333
"1663821",1,0,1,0,0,0,0,1,6,0.36,0.216,9.2625
"1663853",1,0,1,0,0,0,0,1,12.5,1.5625,1.953125,8.55
"1663865",0,0,0,1,0,0,0,1,12,1.44,1.728,10.6875
"1663866",1,0,1,0,0,0,0,1,12.5,1.5625,1.953125,11.685
"1663871",1,0,0,1,0,0,0,1,6,0.36,0.216,6.89415
"1663900",1,0,0,1,0,0,0,1,26,6.76,17.576,16.4270833333333
"1663927",0,1,0,0,0,0,0,1,25,6.25,15.625,30.28125
"1663955",0,0,0,1,0,0,0,1,29,8.41,24.389,11.4
"1663961",0,1,0,0,0,0,0,1,9,0.81,0.729,22.1666666666667
"1663963",1,0,0,1,0,0,0,1,8,0.64,0.512,8.55
"1663969",0,0,1,0,0,0,0,1,14,1.96,2.744,9.796875
"1663979",1,1,0,0,0,0,0,1,4,0.16,0.064,13.18125
"1664023",0,0,0,1,0,0,0,1,35,12.25,42.875,10.6875
"1664030",0,0,1,0,0,0,0,1,27.5,7.5625,20.796875,25.65
"1664040",1,1,0,0,0,0,0,1,9,0.81,0.729,17.8125
"1664041",0,1,0,0,0,0,0,1,15,2.25,3.375,17.45625
